artist,av_time_btwn_release,total_albums,track_per_album,image_url,danceability mean,danceability vol,energy mean,energy vol,key mean,key vol,loudness mean,loudness vol,mode mean,mode vol,speechiness mean,speechiness vol,acousticness mean,acousticness vol,instrumentalness mean,instrumentalness vol,liveness mean,liveness vol,valence mean,valence vol,tempo mean,tempo vol,classic
JID,647.0,3.0,12.666666666666666,https://i.scdn.co/image/850355b6dd218765cff30856442660d15d04c22e,0.6682698412698412,0.1192671921756726,0.5993253968253969,0.12624554211642808,5.460317460317461,3.517527056848157,-7.977246031746031,2.4666636168427805,0.6865079365079364,0.46119154881106866,0.3191496031746031,0.16116796286835952,0.26338476190476195,0.1901670259472411,0.0029344723412698405,0.006781481326034623,0.21723055555555557,0.15444949474432257,0.45406031746031744,0.18535627716474667,112.17776984126984,31.824159227044845,False
Logic,233.0,10.0,14.0,https://i.scdn.co/image/9935c77a1d9ec285adb620a51f63e6611957879e,0.6712910994560994,0.1156336104614207,0.7309040424852924,0.1408233306637932,5.2676549839049835,3.804885443724045,-6.502315478271727,2.4761792447374757,0.541397213897214,0.47649069090696977,0.18690250581363083,0.1317911139063358,0.22034519852092355,0.19264232958427746,0.01418037972860334,0.0382726174455046,0.21207349067599068,0.12784760239633605,0.5187489152514153,0.20489578305703246,123.23612678557552,30.494867690054036,False
BROCKHAMPTON,245.0,6.0,14.666666666666666,https://i.scdn.co/image/6f2b36cd3bdfde856ab93eb242847cac37fefed7,0.6202562877073907,0.14581984667433429,0.5661331416540976,0.13489472577105285,5.135658622423328,3.5723878292174596,-9.150893215811967,3.522229169871236,0.6778500502765209,0.44598593238881584,0.17810356177727504,0.12544560428128945,0.37321276809954756,0.26608409491269264,0.03269284050377074,0.10513489906104771,0.2568473809074912,0.17262535261870507,0.46430856271995985,0.20800587212272567,114.11459863624937,28.37660723641498,False
Smino,604.0,2.0,18.0,https://i.scdn.co/image/0a3bf5643e9cea530be8310484f7ce65520e3e2e,0.6626666666666667,0.09377994991181654,0.5152222222222221,0.10805862740074654,4.638888888888889,3.52793116087223,-8.309527777777776,1.5922073519530748,0.4722222222222222,0.49845199749997665,0.4064444444444445,0.1060284420926831,0.4617388888888888,0.23460243428640004,0.003693589722222222,0.01480977669724337,0.2512361111111111,0.16857269070162872,0.5151111111111111,0.18760280537355192,112.61680555555557,34.944778327547766,False
SZA,701.0,3.0,12.666666666666666,https://i.scdn.co/image/92512e953dcac544a48dc9a3e331725ea65ccff2,0.6232285714285714,0.12939242015565547,0.5689571428571428,0.10500884302527269,4.0285714285714285,3.7432040429158797,-7.518128571428572,1.7765830441065973,0.5619047619047618,0.47884118643821827,0.16691380952380952,0.10535061515831427,0.29568719047619046,0.23231181274553614,0.025688794047619045,0.059143109846463614,0.16646238095238095,0.10787436067227607,0.35634571428571427,0.15007619458024604,115.73983333333335,25.15123817068854,False
Travis Scott,393.0,5.0,13.4,https://i.scdn.co/image/a707baf8df8743deee2b449dec59e417c7b0ff65,0.6763162330316742,0.11624249980718541,0.6264758322559792,0.11702071430893632,4.666717840982547,3.4070956746341468,-5.407449393988365,2.4993470577656796,0.45190691661279897,0.47720973686677803,0.10709702811893988,0.07558836621384953,0.14228639619424693,0.15637404463780885,0.024834853269473173,0.06250638165744307,0.1898791580478345,0.10911185031890228,0.30246842032967036,0.17257923805964076,132.76056468164185,19.417803751391737,False
MF DOOM,418.0,15.0,21.333333333333332,https://i.scdn.co/image/9e8659627a0458faf11ddede64a86dc12542ce69,0.5991192174484213,0.12091879396991262,0.6776797945320582,0.15714112299441574,5.562100265030682,3.4398407901894217,-7.4250487637816525,2.1803701958200574,0.5682436139502136,0.4180990740343706,0.2438458326328143,0.11812618722477922,0.2271478715881724,0.19745215749207856,0.30249080439681564,0.21890760837643372,0.2881416997141229,0.1876269669590181,0.6420771058385262,0.16555192067582522,110.7231110094855,32.2786299126603,True
Nas,374.0,27.0,15.25925925925926,https://i.scdn.co/image/cfd69a226ae97922de551a6143ac42428d808d84,0.6467801514776679,0.11636984174266418,0.7151310908019602,0.12666400707995817,5.722543086905832,3.371023294228989,-6.857666116017847,1.850615818830403,0.5313618788618789,0.4788065521224986,0.30819192659434486,0.12489241827920568,0.1421955881987336,0.15658183723624083,0.0012481905126515275,0.004019898797563102,0.22699551653321265,0.14418958355272504,0.5549162028782159,0.1840887733465305,104.81773479375322,27.20085969300556,True
Kendrick Lamar,338.0,9.0,13.555555555555555,https://i.scdn.co/image/b772a78d4cb192268d6f601a78f21044c17d6dda,0.6274762769637768,0.1163154905857551,0.6411571225071225,0.12222135305375506,4.97954822954823,3.5612318047188185,-7.875308516483518,2.238575989119302,0.5363349613349614,0.4882700973291526,0.2860291687016687,0.14083729855434646,0.2517021618844119,0.19776413362518414,0.002738173471662597,0.00944953794389926,0.27343485704110704,0.16771774823809757,0.4335455255392755,0.17195164772225305,118.96451393976395,29.49292922126258,True
J. Cole,403.0,11.0,16.181818181818183,https://i.scdn.co/image/ff24214a2e41e0d0a4621b35c53e0573c2c6a65e,0.6373974192474191,0.12818358589628473,0.6152101808544991,0.1344581019697064,5.518489717353353,3.529439156876507,-8.631846316814498,2.0207215617197813,0.5212609360336633,0.47574731096166684,0.2915575871477008,0.1496562877806165,0.2984177777065107,0.22925150210337533,0.004636833372473486,0.014879587421531686,0.2681041843888435,0.1495619716909987,0.42310965282192553,0.1857955027532004,111.39587228011887,31.21506555333463,True
